,aircraft,airline_name,aisle_space_rating,author,author_country,cabin_flown,cabin_staff_rating,content,date,date_flown,food_beverages_rating,ground_service_rating,inflight_entertainment_rating,link,overall_rating,power_supply_rating,recommended,route,seat_comfort_rating,seat_layout,seat_legroom_rating,seat_recline_rating,seat_storage_rating,seat_width_rating,title,type_traveller,value_money_rating,viewing_tv_rating,wifi_connectivity_rating,negativereason_confidence,negativereason
0,,american-airlines,,H Chisnall,United Kingdom,Economy,1.0,Our flight from MAN to JFK was cancelled due to engine issues which resulted in us having to rebook and we ended up flying via LHR. Our rebooked flight was with British Airways which was much better as they offered individual inflight entertainment systems unlike American who are still on an old system of overhead TVs. Our flight back from JFK was delayed and when we eventually got on board the aeroplane was quite possibly the oldest plane I have been on with a cabin crew to match. After 10 minutes the pilot informed us that a member of American Airlines staff had attempted to open the cabin door when it had already been locked which resulted in the life raft falling off the plane! We had to all disembark and after an hours wait we were told our flight was cancelled and we would need to rebook. We were put on flight the next day via Dublin which resulted us being over 24 hours late home. Appalling service and we will never travel with them again.,2015-08-01,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Manchester to JFK New York,1.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,1.0134615384615384,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Cancelled Flight/Flight Attendant
1,Boeing 757,american-airlines,,Jill Halligan,United States,Economy,4.0,We flew from Boston MA to St. Thomas U.S.V.I. on July 14th 2015. Flight #1619 from Boston to Miami was our first leg of the trip and that went smoothly. Then we got onto flight #2421 from Miami to St. Thomas. It was delayed a half hour. We landed in St. Thomas still being able to make our ferry to Tortola. However it took 1 hour and 45 minutes for all of our luggage to be deplaned. During this time three other planes landed all of their luggage was sorted out and the passengers from those planes left the terminal. We found one of our pieces of luggage was still in Miami. Our flight came in at 3.30pm originally supposed to land at 2.57pm. It is well know that ferries stop running from Charlotte Amalie at 4.30pm. American should have done everything in its power to get people on their way. At least one third of the passengers were in the same situation as us. Four others lost baggage. My son spent the next morning trying to reconnect with his luggage and were told we would have to make a trip to the ferry terminal to pick it up. Now on to our flight home July 25th 2015 we arrive at the airport three hours before our flight. The six of us were flying from St. Thomas to Philadelphia PA on flight 837 leaving at 3.05pm. We arrived at the airport at 11.45am. We went to the kiosk and got our plane tickets and then joined the extremely long line (1.5 hours) at the ticket counter just to get our luggage tags.,2015-07-31,,3.0,1.0,4.0,/airline-reviews/american-airlines,3.0,,0,Boston to St. Thomas via Miami,4.0,,,,,,American Airlines customer review,FamilyLeisure,2.0,,,0.944047619047619,Lost Luggage/Booking Problems/Booking Problems/Long Line
2,Boeing 777-300 / A321,american-airlines,,Rafael Bozzolla Vieira,Brazil,Business Class,4.0,Long detour to get from GRU to LAX but gave me the chance to experience their J flagship product both in the international (B777-300) and domestic (A321) products. The individual reverse herringbone seats on the 777 are second to none. Privacy and sleeping space are guaranteed. The entertainment is good enough and the flight crew professional and even friendly to some extent. The one downside was the food which was not only below what one would expect for J and not very tasty either. In the transcon similar experience. The full lie flat in J is a nice touch and even getting over the other passenger is not a problem at all. The only major difference was the crew who were a bit more standoffish.,2015-07-31,,3.0,4.0,4.0,/airline-reviews/american-airlines,8.0,,1,GRU to LAX via GRU,5.0,,,,,,American Airlines customer review,Solo Leisure,5.0,,,0.8743421052631579,Food
3,Boeing 757,american-airlines,,B Christen,France,Economy,1.0,Be well warned that if you cross the Atlantic with American Airlines they are likely to put you on a small 3x3 plane with absolutely no entertainment system. I was charged $85 for a few pounds luggage overweight where practically any other airline crossing the Atlantic would have let me pass through with it.,2015-07-31,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,New York to Paris,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,1.0,1.0964285714285715,General
4,Boeing 777,american-airlines,,Hilarion Martinez,United States,Business Class,5.0,Business class was excellent plenty of food choices generous servings and good food quality. Avoid the bulkhead seats in Business Class or the seats in the last row of Business Class. The variety of inflight movies is excellent as is the sound quality.,2015-07-30,,5.0,5.0,5.0,/airline-reviews/american-airlines,10.0,,1,Dallas to Buenos Aires,5.0,,,,,,American Airlines customer review,Solo Leisure,5.0,,,0.38,Food
5,Boeing 772,american-airlines,,Melanie Schcolnik,Argentina,Business Class,5.0,The old Boeing 777 had been retrofitted. They removed First Class and Business Class seats upgraded to fully flat seats over two sections of the aircraft with a nice bar in between. Cabin crew were nicer and even managed to smile (have not seen that in a long time). The food offered was better also:  ie. for breakfast a plate of fresh fruit with some granola and greek yogurt warm scone jam and butter. ,2015-07-29,,5.0,3.0,5.0,/airline-reviews/american-airlines,8.0,,1,Buenos Aires to Tampa via Miami,5.0,,,,,,American Airlines customer review,Couple Leisure,4.0,,4.0,0.7425,Food
6,Boeing 772,american-airlines,,Melanie Schcolnik,Argentina,Business Class,5.0,The old Boeing 777 had been retrofitted. They removed First Class and Business Class seats upgraded to fully flat seats over two sections of the aircraft with a nice bar in between. Cabin crew were nicer and even managed to smile (have not seen that in a long time). The food offered was better also:  ie. for breakfast a plate of fresh fruit with some granola and greek yogurt warm scone jam and butter. ,2015-07-29,,5.0,3.0,5.0,/airline-reviews/american-airlines,8.0,,1,Buenos Aires to Tampa via Miami,5.0,,,,,,American Airlines customer review,Couple Leisure,4.0,,4.0,0.7425,Food
7,,american-airlines,,Dennin Schmidt,United States,Economy,2.0,My flight was scheduled to leave at 7.45 to Newark after it was delayed twice we finally boarded close to 9pm. The staff did not give a reason as to why the flight was delayed and then told me that all other flights to Newark were booked up. ,2015-07-29,,1.0,1.0,,/airline-reviews/american-airlines,1.0,,0,ORD to EWR,3.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.0625,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
8,Boeing 777,american-airlines,,Keith Fishenden,United Kingdom,Economy,1.0,Because of a delay caused by weather we missed a connecting flight. However thats' not the issue. We arrived at Chicago late and missed a connection to Greenbay. We were put on a standby flight to be told that it was unlikely that we would get on. This was a Sunday evening. When we pressed for information about the next flight we were told that this might be 8.30pm on Tuesday as if this were not a problem. Pardon not a problem! A family of three in the middle of Chicago stranded for 3 days. There was no help at all. No useful information as to where we might go what we could do what transport we might be able to get. We were stranded and they did not give any assistance at all. It was a crisis for us. ,2015-07-29,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Gatwick to Greenbay via Chicago,1.0,,,,,,American Airlines customer review,FamilyLeisure,1.0,,,1.075,General
9,Boeing 777,american-airlines,,Keith Fishenden,United Kingdom,Economy,1.0,Because of a delay caused by weather we missed a connecting flight. However thats' not the issue. We arrived at Chicago late and missed a connection to Greenbay. We were put on a standby flight to be told that it was unlikely that we would get on. This was a Sunday evening. When we pressed for information about the next flight we were told that this might be 8.30pm on Tuesday as if this were not a problem. Pardon not a problem! A family of three in the middle of Chicago stranded for 3 days. There was no help at all. No useful information as to where we might go what we could do what transport we might be able to get. We were stranded and they did not give any assistance at all. It was a crisis for us. ,2015-07-29,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Gatwick to Greenbay via Chicago,1.0,,,,,,American Airlines customer review,FamilyLeisure,1.0,,,1.075,General
